0.743,-0.397,0.473,102.188,9.102,5.486,70.205,40.418,33.578
1.362,0.594,-0.115,-77.881,0.175,-34.142,0,0,0
0.687,-0.28,0.31,109.36,-7.912,29.144,72.17,45.225,28.929
1.133,0.359,0.044,-55.58,44.952,-41.969,65.739,42.733,37.539
0.808,0.151,-0.048,44.891,0.664,47.905,70.383,43.089,28.584
0.803,0.058,0.494,-32.341,-47.562,-60.371,63.595,41.308,36.161
0.912,0.351,-0.183,54.588,-14.671,61.111,71.277,40.418,32.201
0.791,-0.079,0.794,61.043,-33.409,-61.775,0,0,0
1.005,0.59,-0.392,-24.467,7.973,70.816,60.38,39.884,34.095
0.698,-0.294,1.052,39.787,-31.136,-44.922,67.168,39.172,34.439
1.141,0.704,-0.403,-35.339,-4.257,61.974,63.238,39.528,30.306
0.731,-0.122,0.885,83.504,-26.642,-56.671,61.094,36.323,34.095
1.172,0.601,-0.432,13.817,3.075,85.861,65.917,36.501,29.79
0.52,-0.104,0.866,113.22,-55.901,-83.923,0,0,0
1.055,0.519,-0.366,12.421,10.658,115.082,56.986,36.857,32.201
0.921,0.288,0.468,-21.767,-83.328,-93.475,62.166,34.542,32.717
0.787,0.234,-0.126,103.18,4.631,77.576,59.665,35.611,28.584
1.239,0.335,-0.396,-172.112,-43.61,-70.435,52.877,32.762,32.373
0.482,-0.278,0.543,249.992,-14.145,78.735,61.094,32.049,30.995
1.506,0.652,-0.677,-236.771,6.516,-58.273,47.339,32.228,26.69
