0.097,0.022,0.87,-32.326,17.96,9.644,68.418,87.78,-13.259
0.113,-0.033,1.033,17.784,-6.126,-6.165,0,0,0
0.095,0.005,0.897,6.973,-1.808,-2.068,68.418,87.78,-14.292
0.082,-0.033,0.954,-54.802,31.891,14.809,69.49,87.068,-14.292
0.092,-0.001,0.928,38.963,-16.823,-10.788,69.312,88.314,-17.22
0.099,0.045,0.824,-20.157,14.816,7.423,69.49,88.136,-13.259
0.075,-0.092,1.036,-1.77,4.311,-0.702,69.312,86.534,-15.153
0.086,-0.022,0.939,45.83,-20.92,-7.385,0,0,0
0.083,-0.004,0.89,-53.68,33.379,14.847,69.312,89.382,-13.431
0.087,-0.07,1.022,26.596,-8.705,-8.537,70.741,87.958,-15.842
0.092,0.054,0.815,23.994,-2.884,-3.998,68.597,86.89,-13.776
0.079,-0.067,1.039,-33.585,20.515,9.842,68.597,86.89,-13.776
0.082,-0.038,1.019,23.293,-8.331,-4.509,69.312,87.958,-13.776
0.082,0.028,0.826,-5.188,5.455,1.961,0,0,0
0.095,-0.076,1.009,-25.909,14.099,3.96,68.061,88.492,-14.292
0.073,-0.076,1.001,53.871,-24.872,-9.499,68.24,87.246,-14.12
0.093,0.028,0.893,-26.413,18.486,8.102,70.383,87.602,-14.464
0.091,-0.076,1.017,-10.727,11.292,-0.198,68.597,86.534,-15.842
0.104,0.029,0.884,35.225,-16.937,-8.217,68.954,87.246,-15.498
0.074,-0.036,0.903,-51.422,29.228,14.435,69.133,87.068,-16.359
